ANO;MES;MONTH_;QUINCENA;TRIMESTRE;MARCA;LINEA;FAMILIA;MODELO;SERVICIO;SEGMENTO;TAMANO;OBJETIVO;OBJECTIVE;TIPO;COMBUSTIBLE;STATUS;NACIONAL_IMPORT;DEPARTAMENTO;CANTIDAD
2010;1;JANUARY;Primera Quincena;1Q;HYUNDAI;ATOS PRIME GL;ATOS;2010;Público;Automóvil;A;Bajo;Low;HATCHBACK;;CBU;IMPORTADO;Bolivar;1
2010;1;JANUARY;Primera Quincena;1Q;MAZDA;3;3;2010;Particular;Automóvil;C;Medio;Medium;SEDAN;;CBU;IMPORTADO;Cundinamarca;1
2010;1;JANUARY;Primera Quincena;1Q;MAZDA;3;3;2010;Particular;Automóvil;C;Medio;Medium;SEDAN;;CBU;NACIONAL;Antioquia;1
2010;1;JANUARY;Primera Quincena;1Q;RENAULT;LOGAN FAMILIER;LOGAN;2010;Particular;Automóvil;B;Bajo;Low;SEDAN;;CBU;IMPORTADO;Meta;1
2010;1;JANUARY;Primera Quincena;1Q;VOLKSWAGEN;TRANSPORTER T5;;2009;Público;INCONSISTENCIA;;;;;;CBU;IMPORTADO;Cundinamarca;1
2010;1;JANUARY;Primera Quincena;1Q;HYUNDAI;ATOS PRIME GL;;2009;Público;INCONSISTENCIA;;;;;;CBU;IMPORTADO;Santander;1
2010;1;JANUARY;Primera Quincena;1Q;HYUNDAI;i 10;I 10;2010;Particular;Automóvil;A;Medio;Medium;HATCHBACK;;CBU;NACIONAL;Antioquia;1
2010;1;JANUARY;Primera Quincena;1Q;HYUNDAI;i 10 GL;I 10;2010;Particular;Automóvil;A;Medio;Medium;HATCHBACK;;CBU;NACIONAL;Bogota D.C.;1
2010;1;JANUARY;Primera Quincena;1Q;HYUNDAI;i 10 GL;I 10;2010;Particular;Automóvil;A;Medio;Medium;HATCHBACK;;CBU;NACIONAL;Bogota D.C.;1
2010;1;JANUARY;Primera Quincena;1Q;HYUNDAI;GETZ GL;GETZ;2010;Particular;Automóvil;B;Bajo;Low;HATCHBACK;;CBU;NACIONAL;Bogota D.C.;1
2010;1;JANUARY;Primera Quincena;1Q;KIA;CERATO FORTE;CERATO TD;2010;Particular;Automóvil;C;Bajo;Low;SEDAN;;CBU;IMPORTADO;Quindio;1
2010;1;JANUARY;Primera Quincena;1Q;KIA;CERATO FORTE;CERATO TD;2010;Particular;Automóvil;C;Bajo;Low;SEDAN;;CBU;NACIONAL;Bogota D.C.;1
2010;1;JANUARY;Primera Quincena;1Q;CITROEN;XSARA PICASSO EXCLUSIVE 2.0 16V BVA;;2009;Particular;INCONSISTENCIA;;;;;;CBU;IMPORTADO;Santander;1
